Electrochemical Behavior of Single-walled Carbon Nanotube Supercapacitors under Compressive Stress,Electrochemical behavior of single-walled carbon nanotube supercapacitors under compressive stress,,150,30.00%,30.00%
Dynamic stochastic fractional programming for sustainable management of electric power systems,Dynamic stochastic fractional programming for sustainable management of electric power systems,,30,100.00%,100.00%
Generalized fuzzy linear programming for decision making under uncertainty: Feasibility of fuzzy solutions and solving approach,Generalized fuzzy linear programming for decision making under uncertainty: Feasibility of fuzzy solutions and solving approach,YR Fan,43,100.00%,100.00%
"An inexact two-stage stochastic programming model for water resources management in Nansihu Lake Basin, China","An inexact two-stage stochastic programming model for water resources management in Nansihu Lake Basin, China",W Li JB Li,31,100.00%,100.00%
"Energy systems planning and GHG-emission control under uncertainty in the province of Liaoning, China: A dynamic inexact energy systems optimization model","Energy systems planning and GHG-emission control under uncertainty in the province of Liaoning, China–A dynamic inexact energy systems optimization model",J Liu,9,90.48%,95.00%
Development of optimal water-resources management strategies for Kaidu-kongque watershed under multiple uncertainties,Development of optimal water-resources management strategies for kaidu-kongque watershed under multiple uncertainties,,4,91.67%,91.67%
A hybrid interval-robust optimization model for water quality management,A hybrid interval–robust optimization model for water quality management,,8,88.89%,88.89%
An inventory-theory-based inexact multistage stochastic programming model for water resources management,An inventory-theory-based inexact multistage stochastic programming model for water resources management,YR Fan Z Li,6,100.00%,100.00%
Interactive fuzzy boundary interval programming for air quality management under uncertainty,Interactive fuzzy boundary interval programming for air quality management under uncertainty,S Wang GH Huang,19,100.00%,100.00%
"Seeking optimal groundwater pumping strategies at Pinggu District in Beijing, China","Seeking optimal groundwater pumping strategies at Pinggu District in Beijing, China",,2,100.00%,100.00%
Planning carbon emission trading for Beijing's electric power systems under dual uncertainties,Planning carbon emission trading for Beijing's electric power systems under dual uncertainties,,30,100.00%,100.00%
Effect of different buffer agents on in-vessel composting of food waste: Performance analysis and comparative study,Effect of different buffer agents on in-vessel composting of food waste: Performance analysis and comparative study,S Li H Yu,14,100.00%,100.00%
Inexact joint-probabilistic chance-constrained programming with left-hand-side randomness: An application to solid waste management,Inexact joint-probabilistic chance-constrained programming with left-hand-side randomness: an application to solid waste management,,22,92.31%,92.31%
Inexact two-stage stochastic credibility constrained programming for water quality management,Inexact two-stage stochastic credibility constrained programming for water quality management,Z Li,42,100.00%,100.00%
Improved solubilities of PAHs by multi-component Gemini surfactant systems with different spacer lengths,Improved solubilities of PAHs by multi-component Gemini surfactant systems with different spacer lengths,S Wang S Zhao,26,100.00%,100.00%
A robust risk analysis method for water resources allocation under uncertainty,A robust risk analysis method for water resources allocation under uncertainty,C Chen,17,100.00%,100.00%
Optimization of the industrial structure facing sustainable development in resource-based city subjected to water resources under uncertainty,Optimization of the industrial structure facing sustainable development in resource-based city subjected to water resources under uncertainty,,18,100.00%,100.00%
"Risk assessment of agricultural irrigation water under interval functions,",Risk assessment of agricultural irrigation water under interval functions,,12,88.89%,88.89%
Risk analysis and management for water resources systems,Risk analysis and management for water resources systems,,10,100.00%,100.00%
A dual two-stage stochastic model for flood management with inexact-integer analysis under multiple uncertainties,A dual two-stage stochastic model for flood management with inexact-integer analysis under multiple uncertainties,,4,100.00%,100.00%
Development of an optimization model for water resources systems planning,Development of an optimization model for water resources systemsplanning,ZF Yang,3,80.00%,88.89%
"Fuzzy two-stage non-point source pollution management model for agricultural systems - A case study for the Lake Tai Basin, China,","Fuzzy two-stage non-point source pollution management model for agricultural systems—A case study for the Lake Tai Basin, China",,16,80.00%,88.89%
Development of climate change projections for small watersheds using multi-model ensemble simulation and stochastic weather generation,Development of climate change projections for small watersheds using multi-model ensemble simulation and stochastic weather generation,H Zhang,10,100.00%,100.00%
A coupled factorial-analysis-based interval programming approach and its application to air quality management,A coupled factorial-analysis-based interval programming approach and its application to air quality management,S Wang GH Huang,12,100.00%,100.00%
A scenario-based modeling approach for emergency evacuation management and risk analysis under multiple uncertainties,A scenario-based modeling approach for emergency evacuation management and risk analysis under multiple uncertainties,,23,100.00%,100.00%
A two-stage mixed-integer fuzzy programming with interval-valued membership functions approach for flood-diversion planning,A two-stage mixed-integer fuzzy programming with interval-valued membership functions approach for flood-diversion planning,S Wang GH Huang,31,100.00%,100.00%
Multi-source multi-sector sustainable water supply under multiple uncertainties: An inexact fuzzy-stochastic quadratic programming approach,Multi-source multi-sector sustainable water supply under multiple uncertainties: an inexact fuzzy-stochastic quadratic programming approach,,26,92.86%,92.86%
Gemini micellar enhanced ultrafiltration (GMEUF) process for the treatment of phenol wastewater,Gemini micellar enhanced ultrafiltration (GMEUF) process for the treatment of phenol wastewater,W Zhang,31,100.00%,100.00%
A queue-based interval-fuzzy programming approach for electric-power systems planning,A queue-based interval-fuzzy programming approach for electric-power systems planning,,15,100.00%,100.00%
A sequential factorial analysis approach to characterize the effects of uncertainties for supporting air quality management,A sequential factorial analysis approach to characterize the effects of uncertainties for supporting air quality management,S Wang GH Huang,24,100.00%,100.00%
A solution to the water resources crisis in wetlands: Development of a scenario-based modeling approach with uncertain features,A solution to the water resources crisis in wetlands: development of a scenario-based modeling approach with uncertain features,,13,94.44%,94.44%
Establishment of channel networks in a digital elevation model of the prairie region through hydrological correction and geomorphological assessment,Establishment of channel networks in a digital elevation model of the prairie region through hydrological correction and geomorphological assessment,H Zhang,10,100.00%,100.00%
Robust planning of energy management systems with environmental and constraint-conservative considerations under multiple uncertainties,Robust planning of energy management systems with environmental and constraint-conservative considerations under multiple uncertainties,C Dong,54,100.00%,100.00%
Water resources management under multi-parameter interactions: A factorial multi-stage stochastic programming approach,Water resources management under multi-parameter interactions: A factorial multi-stage stochastic programming approach,,33,100.00%,100.00%
A robust approach for planning electric power systems associated with environmental policy analysis,A robust approach for planning electric power systems associated with environmental policy analysis,,23,100.00%,100.00%
Dynamic stochastic fractional programming for sustainable management of electric power systems,Dynamic stochastic fractional programming for sustainable management of electric power systems,,30,100.00%,100.00%
Generalized fuzzy linear programming for decision making under uncertainty: Feasibility of fuzzy solutions and solving approach,Generalized fuzzy linear programming for decision making under uncertainty: Feasibility of fuzzy solutions and solving approach,YR Fan,43,100.00%,100.00%
"An inexact two-stage stochastic programming model for water resources management in Nansihu Lake Basin, China","An inexact two-stage stochastic programming model for water resources management in Nansihu Lake Basin, China",W Li JB Li,31,100.00%,100.00%
"Energy systems planning and GHG-emission control under uncertainty in the province of Liaoning, China: A dynamic inexact energy systems optimization model","Energy systems planning and GHG-emission control under uncertainty in the province of Liaoning, China–A dynamic inexact energy systems optimization model",J Liu,9,90.48%,95.00%
Development of optimal water-resources management strategies for Kaidu-kongque watershed under multiple uncertainties,Development of optimal water-resources management strategies for kaidu-kongque watershed under multiple uncertainties,,4,91.67%,91.67%
A hybrid interval-robust optimization model for water quality management,A hybrid interval–robust optimization model for water quality management,,8,88.89%,88.89%
An inventory-theory-based inexact multistage stochastic programming model for water resources management,An inventory-theory-based inexact multistage stochastic programming model for water resources management,YR Fan Z Li,6,100.00%,100.00%
Interactive fuzzy boundary interval programming for air quality management under uncertainty,Interactive fuzzy boundary interval programming for air quality management under uncertainty,S Wang GH Huang,19,100.00%,100.00%
"Seeking optimal groundwater pumping strategies at Pinggu District in Beijing, China","Seeking optimal groundwater pumping strategies at Pinggu District in Beijing, China",,2,100.00%,100.00%
Planning carbon emission trading for Beijing's electric power systems under dual uncertainties,Planning carbon emission trading for Beijing's electric power systems under dual uncertainties,,30,100.00%,100.00%
Effect of different buffer agents on in-vessel composting of food waste: Performance analysis and comparative study,Effect of different buffer agents on in-vessel composting of food waste: Performance analysis and comparative study,S Li H Yu,14,100.00%,100.00%
Inexact joint-probabilistic chance-constrained programming with left-hand-side randomness: An application to solid waste management,Inexact joint-probabilistic chance-constrained programming with left-hand-side randomness: an application to solid waste management,,22,92.31%,92.31%
Inexact two-stage stochastic credibility constrained programming for water quality management,Inexact two-stage stochastic credibility constrained programming for water quality management,Z Li,42,100.00%,100.00%
Improved solubilities of PAHs by multi-component Gemini surfactant systems with different spacer lengths,Improved solubilities of PAHs by multi-component Gemini surfactant systems with different spacer lengths,S Wang S Zhao,26,100.00%,100.00%
A robust risk analysis method for water resources allocation under uncertainty,A robust risk analysis method for water resources allocation under uncertainty,C Chen,17,100.00%,100.00%
Optimization of the industrial structure facing sustainable development in resource-based city subjected to water resources under uncertainty,Optimization of the industrial structure facing sustainable development in resource-based city subjected to water resources under uncertainty,,18,100.00%,100.00%
