A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,C Guo,89,100.00%,100.00%
Subspace identification with non-steady Kalman filter parameterization,Subspace identification with non-steady Kalman filter parameterization,Y Zhao SJ Qin,3,100.00%,100.00%
Skeleton-enhanced line drawings for 3D models,Skeleton-enhanced line drawings for 3D models,Z Li S Qin X Jin Z Yu,5,100.00%,100.00%
The Roles of the Q (q) Wave in Lead I and QRS Frontal Axis for Diagnosing Loss of Left Ventricular Capture during Cardiac Resynchronization Therapy,The roles of the Q (q) wave in lead I and QRS frontal axis for diagnosing loss of left ventricular capture during cardiac resynchronization therapy,W Wang,2,48.00%,48.00%
Community-Based Stroke System of Care for Chinese Rural Areas,Community-based stroke system of care for Chinese rural areas,S Qin,5,33.33%,33.33%
Impact of Environmental Factors and Biological Soil Crust Types on Soil Respiration in a Desert Ecosystem,Impact of environmental factors and biological soil crust types on soil respiration in a desert ecosystem,Y Zhang B Wang,14,37.50%,37.50%
Large-scale production of h-In< sub> 2</sub> O< sub> 3</sub>/carbon nanocomposites with enhanced lithium storage properties,Sub-3 nm Co3O4 nanofilms with enhanced supercapacitor properties,C Zhong,94,20.00%,37.50%
Overexpression of pulmonary surfactant protein A like molecules in inflammatory bowel disease tissues,Overexpression of pulmonary surfactant protein A like molecules in inflammatory bowel disease tissues.,,11,92.31%,92.31%
Nonmuscle myosin heavy chain IIA mediates integrin LFA-1 de-adhesion during T lymphocyte migration,Nonmuscle myosin heavy chain IIA mediates integrin LFA-1 de-adhesion during T lymphocyte migration,PW Oakes D Lee,111,100.00%,100.00%
Monodisperse magnetite (Fe3O4) nanoparticles coupled with nuclear localization signal (NLS) peptide for cell nuclear targeting,Monodisperse Magnetite Nanoparticles Coupled with Nuclear Localization Signal Peptide for Cell‐Nucleus Targeting,C Xu J Xie,41,20.00%,25.00%
Au-Fe3O4 dumbbell nanoparticles as dual functional probes,Au–Fe3O4 Dumbbell Nanoparticles as Dual‐Functional Probes,C Xu J Xie D Ho C Wang,411,14.29%,16.67%
STAT5 mediates platelet-activating factor (PAF)-induced NADPH oxidase NOX5- S expression in Barrett’s esophageal adenocarcinoma cells.,STAT5 mediates PAF-induced NADPH oxidase NOX5-S expression in Barrett9s esophageal adenocarcinoma cells,J Wands DG Beer,32,53.33%,66.67%
Acetylation-dependent signal transduction for type I interferon receptor,Acetylation-dependent signal transduction for type I interferon receptor,,157,100.00%,100.00%
STAT3 protein demolition by caspases: cellular and functional analysis,"Stat3 cleavage by caspases impact on full-length Stat3 expression, fragment formation, and transcriptional activity",,38,22.22%,14.29%
Ankyrin repeat and SOCS box 3 (ASB3) mediates ubiquitination and degradation of tumor necrosis factor receptor II.,Ankyrin repeat and SOCS box 3 (ASB3) mediates ubiquitination and degradation of tumor necrosis factor receptor II,,54,94.12%,94.12%
STAT3 dimerization regulated by reversible acetylation of a single lysine residue within STAT3 Cterminal region,Stat3 dimerization regulated by reversible acetylation of a single lysine residue,,624,66.67%,90.91%
A central role of Threonine-p+1loop residue in RTK for constitutive STAT3 phosphorylation in metastastic cancer cells,The RKIP and STAT3 Axis in Cancer Chemotherapy: Opposites Attract,MB Resnick,1,12.50%,30.00%
Antibodies immobilized as arrays to profile protein post-translational modifications in mammalian cells,Antibodies immobilized as arrays to profile protein post-translational modifications in mammalian cells,SS Ivanov,73,100.00%,100.00%
Identification of STAT’s linker-SH2 domain as the SH2 domain origin using two dimensional structural analysis,Identification of the linker-SH2 domain of STAT as the origin of the SH2 domain using two-dimensional structural alignment,J Hua JJ Headd X Fu,29,100.00%,61.11%
Stat1 functions as a cytoplasmic attenuator of Runx2 in the transcriptional program of osteoblast differentiation,Stat1 functions as a cytoplasmic attenuator of Runx2 in the transcriptional program of osteoblast differentiation,S Kim,211,100.00%,100.00%
SHP-2 is a dual-specificity phosphatase to dephosphorylate Stat1 at both tyrosine and serine residues in nuclei,SHP-2 is a dual-specificity phosphatase involved in Stat1 dephosphorylation at both tyrosine and serine residues in nuclei,TR Wu,161,93.75%,82.35%
Identification of both the positive and negative motifs for STAT activation within EGFR cytoplasmic domain,Identification of both positive and negative domains within the epidermal growth factor receptor COOH-terminal region for signal transducer and activator of …,SS Ivanov,128,66.67%,42.86%
Stat1 as a component of TNF alpha receptor 1-TRADD signaling complex to inhibit NF-κB activation,Stat1 as a component of tumor necrosis factor alpha receptor 1-TRADD signaling complex to inhibit NF-κB activation,TR Wu,180,93.33%,82.35%
STAT genes discovered in C.Elegans,RNAi in C. elegans: soaking in the genome sequence,,774,40.00%,11.11%
STAT5 activation is essential for TCR regulation of gene expression in T cells,IL-2 receptor β-dependent STAT5 activation is required for the development of Foxp3+ regulatory T cells,,645,53.85%,46.67%
Identification and characterization of an EGF receptor associated STAT inhibitor,STATs and gene regulation,,3957,10.00%,25.00%
Screening tyrosine kinase inhibitors for selectively inhibition of EGFR in breast cancer cell lines,"… novel, reversible epidermal growth factor receptor/ErbB-2 tyrosine kinase inhibitor, GW2016, on the growth of human normal and tumor-derived cell lines in vitro and …",,676,42.86%,26.09%
Activation of STAT signaling pathway can cause expression of Caspase 1 and apoptosis,Activation of the STAT signaling pathway can cause expression of caspase 1 and apoptosis.,,539,84.62%,78.57%
Cell growth arrest and induction of cyclin-dependent kinase inhibitor p21WAF1/CIP1 mediated by STAT1,Cell growth arrest and induction of cyclin-dependent kinase inhibitor p21WAF1/CIP1 mediated by STAT1,,831,100.00%,100.00%
The stimulatory effects of nickel chloride on DNA replication in HeLa cells and E. coli.,The stimulatory effect of nickel chloride on DNA replication in human HeLa cells and Escherwhw coli,,8,80.00%,75.00%
The effects of divalent nickel (Ni2+) on DNA replication in vitro by DNA polymerase α.,The effect of divalent nickel (Ni2+) on in vitro DNA replication by DNA polymerase α,,10,86.67%,86.67%
A single stranded DNA binding protein isolated from HeLa cells facilitates Ni2+ activation of DNA polymerases in vitro,A Single Stranded DNA Binding Protein Isolated from HeLa Cells Facilitates Ni2+ Activation of DNA Polymerases in vitro,,1,50.00%,50.00%
Optimal operational control for complex industrial processes,Optimal operational control for complex industrial processes,SJ Qin H Wang,28,100.00%,100.00%
Multiblock Concurrent PLS for Decentralized Monitoring of Continuous Annealing Processes,Multiblock concurrent PLS for decentralized monitoring of continuous annealing processes,Q Liu SJ Qin,26,40.00%,40.00%
Supercritical CO< sub> 2</sub> extraction and pre-column derivatization of polysaccharides from< i> Artemisia sphaerocephala</i> Krasch< i>.</i> seeds via gas chromatography,Ultrasonic–microwave synergistic extraction (UMSE) and molecular weight distribution of polysaccharides from Fortunella margarita (Lour.) Swingle,S Miao,14,20.00%,26.67%
Shape similarity comparison of protein CPK models based on improved L 1-medial skeleton,Shape similarity comparison of protein CPK models based on improved L 1-medial skeleton,SW Qin Z Li SP Zhang,1,100.00%,100.00%
Process data analytics in the era of big data,Process data analytics in the era of big data,SJ Qin,71,100.00%,100.00%
"Fractal approach to estimating changes in soil properties following the establishment of< i> Caragana korshinskii</i> shelterbelts in Ningxia, NW China","Fractal approach to estimating changes in soil properties following the establishment of Caragana korshinskii shelterbelts in Ningxia, NW China",YQ Zhang,16,85.00%,89.47%
Convergence analysis for second-order interval Cohen–Grossberg neural networks,Convergence analysis for second-order interval Cohen–Grossberg neural networks,S Qin J Xu,10,100.00%,100.00%
Subspace identification with non-steady Kalman filter parameterization,Subspace identification with non-steady Kalman filter parameterization,Y Zhao SJ Qin,3,100.00%,100.00%
Skeleton-enhanced line drawings for 3D models,Skeleton-enhanced line drawings for 3D models,Z Li S Qin X Jin Z Yu,5,100.00%,100.00%
The Roles of the Q (q) Wave in Lead I and QRS Frontal Axis for Diagnosing Loss of Left Ventricular Capture during Cardiac Resynchronization Therapy,The roles of the Q (q) wave in lead I and QRS frontal axis for diagnosing loss of left ventricular capture during cardiac resynchronization therapy,W Wang,2,48.00%,48.00%
Community-Based Stroke System of Care for Chinese Rural Areas,Community-based stroke system of care for Chinese rural areas,S Qin,5,33.33%,33.33%
Impact of Environmental Factors and Biological Soil Crust Types on Soil Respiration in a Desert Ecosystem,Impact of environmental factors and biological soil crust types on soil respiration in a desert ecosystem,Y Zhang B Wang,14,37.50%,37.50%
Large-scale production of h-In< sub> 2</sub> O< sub> 3</sub>/carbon nanocomposites with enhanced lithium storage properties,Sub-3 nm Co3O4 nanofilms with enhanced supercapacitor properties,C Zhong,94,20.00%,37.50%
Application of economic MPC to the energy and demand minimization of a commercial building,Application of economic MPC to the energy and demand minimization of a commercial building,J Ma,28,100.00%,100.00%
Strong ferromagnetism of reduced graphene oxide,Strong ferromagnetism of reduced graphene oxide,Y Cao,23,100.00%,100.00%
A Two-Layer Recurrent Neural Network for Nonsmooth Convex Optimization Problems,A two-layer recurrent neural network for nonsmooth convex optimization problems,S Qin,23,20.00%,20.00%
Skeleton-based shape analysis of protein models,Skeleton-based shape analysis of protein models,Z Li S Qin Z Yu,5,100.00%,100.00%
Early Development of Xanthoma and Coronary Disease in a Yong Female with Homozygous Familial Hypercholesterolemia,Early development of xanthoma and coronary disease in a young female with homozygous familial hypercholesterolemia,S Qin,2,40.00%,40.00%
Nondestructive Testing of EAST W/Cu Divertor Components,Nondestructive testing of EAST W/Cu divertor components,Q Li Y Xu,9,57.14%,57.14%
Present day crustal vertical movement inferred from precise leveling data in eastern margin of Tibetan Plateau,Present day crustal vertical movement inferred from precise leveling data in eastern margin of Tibetan Plateau,Z Shen,19,100.00%,100.00%
Thermal evaporation and characterization of Sb2Se3 thin film for substrate Sb2Se3/CdS solar cells,Thermal evaporation and characterization of Sb2Se3 thin film for substrate Sb2Se3/CdS solar cells,,46,100.00%,100.00%
The decreased expression of mitofusin-1 and increased fission-1 together with alterations in mitochondrial morphology in the kidney of rats with chronic fluorosis may involve elevated oxidative stress,The decreased expression of mitofusin-1 and increased fission-1 together with alterations in mitochondrial morphology in the kidney of rats with chronic fluorosis may …,SL Qin,6,81.48%,95.65%
p120 Modulates LPS-Induced NF-κB Activation Partially through RhoA in Bronchial Epithelial Cells,p120 modulates LPS-induced NF-κB activation partially through RhoA in bronchial epithelial cells,L Qin S Qin C Zhang,10,41.67%,41.67%
Increased serum HMGB1 levels in patients with Henoch–Schönlein purpura,Increased serum HMGB1 levels in patients with Henoch–Schönlein purpura,S Qin,7,100.00%,100.00%
Stable isotope composition alteration produced by the aragonite-to-calcite transformation in speleothems and implications for paleoclimate reconstructions,Stable isotope composition alteration produced by the aragonite-to-calcite transformation in speleothems and implications for paleoclimate reconstructions,H Zhang Y Cai L Tan,16,100.00%,100.00%
